2020-04-21 22:22:21,873 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:22:52,316 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:22:55,100 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:22:56,531 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:22:59,894 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-04-21 22:24:06,766 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-04-21 22:24:43,593 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-04-21 22:31:21,052 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-04-21 22:41:08,147 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-04-21 22:41:16,246 - Worker-0 - INFO - Frontier is empty. Stopping Crawler.
2020-04-21 22:41:46,946 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:47,528 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/laist-socal-professors-push-to-make-college-level-statistics-less-painful-jessica-utts-quoted, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:48,099 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-welcomes-8-new-faculty-for-2019, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:48,680 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/senior-spotlight-taneisha-arora-pursues-her-passions-from-working-in-industry-to-running-a-bakery, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:49,246 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-professors-shahbaba-and-minin-help-develop-framework-to-investigate-complex-biological-systems, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:49,815 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/hal-stern-appointed-vice-provost-for-academic-planning, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:50,392 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-nan-awarded-nsf-grant-to-improve-statistical-inference, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:41:50,968 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/renewed-funding-lets-hal-stern-continue-research-of-early-life-adversity-brain-development-with-the-uci-conte-center, status <200>, using cache ('styx.ics.uci.edu', 9007).
